Timestep	J_x	J_y	J_z	Jconv_x	Jconv_y	Jconv_z	Jcond_x	Jcond_y	Jcond_z
0	75.45210308	2.96108E-05	-6.29172E-05	61.8975317	2.47754E-05	-5.88689E-05	13.55457138	4.83541E-06	-4.04832E-06
1	77.18146098	-4.26958E-05	1.31381E-05	62.54391698	-4.21927E-05	1.64648E-05	14.637544	-5.03149E-07	-3.32675E-06
2	79.11629416	-3.77711E-05	2.07109E-06	63.29721643	-3.69116E-05	-3.04263E-06	15.81907773	-8.59459E-07	5.11372E-06
3	81.24070481	-4.44911E-05	-1.89239E-06	64.14243798	-5.18844E-05	-2.28639E-06	17.09826683	7.39325E-06	3.94E-07
4	83.53514422	-3.67296E-06	2.36882E-05	65.06615996	-1.51919E-06	2.49422E-05	18.46898426	-2.15377E-06	-1.25399E-06
5	85.97279172	1.21392E-05	-3.82095E-06	66.05272988	1.63026E-05	-1.80396E-06	19.92006185	-4.16334E-06	-2.01699E-06
6	88.52133185	-4.76552E-05	-2.43843E-06	67.08575796	-4.93453E-05	-3.34959E-06	21.43557389	1.69013E-06	9.1116E-07
7	91.14258872	-1.29788E-05	1.06999E-05	68.14699758	-5.88986E-06	1.50652E-05	22.99559115	-7.08897E-06	-4.36537E-06
8	93.79600548	6.04547E-06	-3.467E-05	69.219417	4.67604E-06	-3.41573E-05	24.57658849	1.36943E-06	-5.1274E-07
9	96.43637458	-1.06299E-05	-2.29154E-05	70.28346608	-7.00795E-06	-1.88483E-05	26.15290851	-3.62196E-06	-4.06716E-06
10	99.0172235	-3.83724E-06	-3.50924E-05	71.32020402	-7.05119E-06	-3.08584E-05	27.69701948	3.21395E-06	-4.23396E-06
11	101.490964	-1.61005E-05	-3.29779E-05	72.31003704	-1.59994E-05	-2.99058E-05	29.18092693	-1.01086E-07	-3.07208E-06
12	103.8110695	2.39437E-05	-6.24924E-06	73.23368639	2.40705E-05	-6.73925E-06	30.57738309	-1.26802E-07	4.90012E-07
13	105.9325425	-4.17256E-06	-1.67265E-05	74.07212655	-2.40992E-06	-2.39062E-05	31.860416	-1.76264E-06	7.1797E-06
14	107.811647	-3.55074E-05	-2.61264E-05	74.80548911	-3.32406E-05	-2.74459E-05	33.00615792	-2.26685E-06	1.31952E-06
15	109.4099164	-7.42229E-05	6.55111E-06	75.41602026	-6.81303E-05	2.55782E-06	33.99389612	-6.09258E-06	3.99329E-06
16	110.6917701	4.34664E-05	1.91085E-05	75.88557033	4.19924E-05	2.33823E-05	34.80619975	1.47396E-06	-4.27384E-06
17	111.6284121	4.41033E-06	-5.27184E-07	76.19838291	8.8669E-06	-2.11936E-06	35.43002914	-4.45657E-06	1.59218E-06
18	112.1948671	1.55552E-06	-8.35267E-06	76.33888719	4.78418E-06	-8.62939E-06	35.85597994	-3.22865E-06	2.76722E-07
19	112.3718109	7.5293E-05	-2.17738E-06	76.29239083	6.32893E-05	-2.85199E-06	36.07942007	1.20037E-05	6.74612E-07
20	112.1461624	-3.72846E-06	6.28869E-06	76.04645087	-3.68435E-06	5.78492E-06	36.09971158	-4.41101E-08	5.03765E-07
21	111.5115139	1.06834E-06	-8.06906E-05	75.59162688	1.08168E-05	-7.95781E-05	35.91988704	-9.74848E-06	-1.1125E-06
22	110.4650136	4.79958E-05	-8.13142E-05	74.91795529	4.89798E-05	-6.96484E-05	35.54705835	-9.83999E-07	-1.16658E-05
23	109.0085718	2.78301E-05	-1.56646E-05	74.0172586	1.95184E-05	-1.00632E-05	34.99131323	8.31171E-06	-5.60139E-06
24	107.15196	8.61378E-05	1.32263E-05	72.88660928	9.38162E-05	8.57819E-06	34.26535069	-7.6784E-06	4.64815E-06
25	104.9047031	4.61214E-05	-9.42666E-06	71.52066514	4.26363E-05	-1.12561E-05	33.38403796	3.48507E-06	1.8294E-06
26	102.2832318	-6.53542E-05	-5.00133E-06	69.91925189	-6.93019E-05	-4.74013E-06	32.36397991	3.94769E-06	-2.61195E-07
27	99.30538941	-5.56448E-06	5.19575E-05	68.0826875	-2.06932E-06	4.92901E-05	31.22270191	-3.49516E-06	2.66739E-06
28	95.99168776	-4.28119E-05	3.7786E-06	66.01328731	-3.93033E-05	4.34319E-06	29.97840045	-3.50858E-06	-5.64586E-07
29	92.36607825	-3.18254E-05	2.15828E-07	63.71676453	-2.99506E-05	5.08536E-06	28.64931373	-1.8748E-06	-4.86954E-06
