TimeStep	J_x_ref	J_y_ref	J_z_ref	Jconv_x_ref	Jconv_y_ref	Jconv_z_ref	Jcond_x_ref	Jcond_y_ref	Jcond_z_ref
0	75.4518	-4.00889E-06	-1.73978E-06	61.8973	-3.83055E-06	-9.25321E-07	13.5546	-1.78335E-07	-8.14461E-07
1	77.1816	-4.13454E-06	-1.64259E-06	62.544	-3.87782E-06	-8.73398E-07	14.6376	-2.56728E-07	-7.69192E-07
2	79.116	-4.24356E-06	-1.54224E-06	63.2968	-3.91622E-06	-8.29875E-07	15.8191	-3.27341E-07	-7.12363E-07
3	81.2408	-4.33511E-06	-1.44023E-06	64.1425	-3.94613E-06	-7.9526E-07	17.0983	-3.88981E-07	-6.44974E-07
4	83.5354	-4.40857E-06	-1.33828E-06	65.0664	-3.96793E-06	-7.69909E-07	18.469	-4.40639E-07	-5.68372E-07
5	85.9731	-4.4636E-06	-1.23831E-06	66.0531	-3.98207E-06	-7.54041E-07	19.9201	-4.81538E-07	-4.84272E-07
6	88.5214	-4.50013E-06	-1.14236E-06	67.0858	-3.98901E-06	-7.47711E-07	21.4356	-5.1112E-07	-3.94653E-07
7	91.1429	-4.51828E-06	-1.05257E-06	68.1474	-3.98923E-06	-7.50833E-07	22.9956	-5.29047E-07	-3.01738E-07
8	93.7961	-4.51847E-06	-9.71074E-07	69.2195	-3.98325E-06	-7.63172E-07	24.5766	-5.3522E-07	-2.07902E-07
9	96.4364	-4.50131E-06	-8.99942E-07	70.2835	-3.97158E-06	-7.84351E-07	26.1529	-5.29727E-07	-1.15591E-07
10	99.0171	-4.46759E-06	-8.41118E-07	71.3202	-3.95473E-06	-8.13868E-07	27.6969	-5.12863E-07	-2.72505E-08
11	101.491	-4.41832E-06	-7.96349E-07	72.3101	-3.93321E-06	-8.5111E-07	29.181	-4.85105E-07	5.47612E-08
12	103.811	-4.35464E-06	-7.67112E-07	73.2338	-3.90754E-06	-8.95365E-07	30.5775	-4.47103E-07	1.28253E-07
13	105.932	-4.27785E-06	-7.54577E-07	74.0719	-3.8782E-06	-9.45843E-07	31.8605	-3.99648E-07	1.91266E-07
14	107.812	-4.18937E-06	-7.59549E-07	74.8053	-3.84569E-06	-1.0017E-06	33.0062	-3.43678E-07	2.42147E-07
15	109.41	-4.09072E-06	-7.8242E-07	75.4158	-3.81047E-06	-1.06203E-06	33.9939	-2.8025E-07	2.7961E-07
16	110.692	-3.98348E-06	-8.23202E-07	75.8857	-3.77297E-06	-1.12594E-06	34.8062	-2.10505E-07	3.02736E-07
17	111.628	-3.86929E-06	-8.81463E-07	76.1984	-3.73361E-06	-1.1925E-06	35.43	-1.35678E-07	3.11032E-07
18	112.195	-3.74982E-06	-9.56375E-07	76.3386	-3.69277E-06	-1.2608E-06	35.856	-5.70516E-08	3.04425E-07
19	112.372	-3.62674E-06	-1.0467E-06	76.2922	-3.65077E-06	-1.32996E-06	36.0795	2.40279E-08	2.8326E-07
20	112.146	-3.50171E-06	-1.15087E-06	76.0468	-3.60793E-06	-1.39913E-06	36.0997	1.06218E-07	2.48257E-07
21	111.512	-3.37632E-06	-1.26699E-06	75.5916	-3.56449E-06	-1.46749E-06	35.9199	1.88171E-07	2.00502E-07
22	110.465	-3.25209E-06	-1.39293E-06	74.9176	-3.52067E-06	-1.5343E-06	35.5471	2.68572E-07	1.41369E-07
23	109.009	-3.13048E-06	-1.52634E-06	74.0176	-3.47663E-06	-1.59884E-06	34.9913	3.46142E-07	7.24931E-08
24	107.152	-3.01278E-06	-1.66478E-06	72.8864	-3.43249E-06	-1.66046E-06	34.2654	4.19702E-07	-4.31364E-09
25	104.905	-2.90018E-06	-1.80571E-06	71.5206	-3.38833E-06	-1.71859E-06	33.3841	4.88148E-07	-8.71195E-08
26	102.283	-2.7937E-06	-1.94661E-06	69.9191	-3.34419E-06	-1.77268E-06	32.364	5.50494E-07	-1.73929E-07
27	99.3052	-2.69418E-06	-2.08502E-06	68.0824	-3.30008E-06	-1.82226E-06	31.2227	6.05897E-07	-2.62764E-07
28	95.9918	-2.60234E-06	-2.21862E-06	66.0134	-3.25597E-06	-1.86691E-06	29.9784	6.53629E-07	-3.51708E-07
29	92.366	-2.51866E-06	-2.34524E-06	63.7167	-3.2118E-06	-1.90628E-06	28.6493	6.93143E-07	-4.38961E-07
30	88.4524	-2.44349E-06	-2.46294E-06	61.1989	-3.16752E-06	-1.94007E-06	27.2535	7.24027E-07	-5.22876E-07
31	84.2772	-0.000002377	-2.57003E-06	58.4687	-3.12302E-06	-1.96802E-06	25.8084	7.46018E-07	-6.02013E-07
32	79.8674	-2.31921E-06	-2.6651E-06	55.5366	-3.07822E-06	-1.98996E-06	24.3308	7.59012E-07	-6.75134E-07
33	75.2511	-2.26999E-06	-2.74701E-06	52.4149	-3.03301E-06	-2.00576E-06	22.8363	7.63021E-07	-7.41247E-07
34	70.4573	-2.22911E-06	-2.81495E-06	49.1177	-2.98729E-06	-2.01535E-06	21.3396	7.58188E-07	-7.99596E-07
35	65.5154	-2.1962E-06	-2.8684E-06	45.661	-2.94097E-06	-2.01873E-06	19.8544	7.44768E-07	-8.49677E-07
36	60.4556	-2.17085E-06	-2.90715E-06	42.0624	-2.89394E-06	-2.01593E-06	18.3932	7.23094E-07	-8.91219E-07
37	55.3085	-2.15257E-06	-2.93127E-06	38.341	-2.84614E-06	-2.00708E-06	16.9675	6.93573E-07	-9.24184E-07
38	50.1054	-2.1408E-06	-2.94105E-06	34.5175	-2.79749E-06	-1.99233E-06	15.5879	6.56685E-07	-9.4872E-07
39	44.8779	-2.13498E-06	-2.93708E-06	30.6141	-2.74793E-06	-1.97189E-06	14.2639	6.1295E-07	-9.65195E-07
40	39.6583	-2.1345E-06	-2.92014E-06	26.6539	-2.69742E-06	-1.94601E-06	13.0043	5.62921E-07	-9.74131E-07
41	34.4787	-2.13875E-06	-2.89117E-06	22.6615	-2.64593E-06	-1.91498E-06	11.8172	5.07186E-07	-9.76192E-07
42	29.3719	-2.1471E-06	-2.85129E-06	18.6624	-2.59346E-06	-1.87914E-06	10.7096	4.46363E-07	-9.72155E-07
43	24.3703	-2.1589E-06	-2.80173E-06	14.6826	-0.00000254	-1.83883E-06	9.68767	3.81093E-07	-9.629E-07
44	19.5061	-2.17352E-06	-2.74376E-06	10.7492	-2.48556E-06	-1.79443E-06	8.75688	3.1204E-07	-9.4933E-07
45	14.8109	-2.19024E-06	-2.6787E-06	6.8894	-2.43016E-06	-1.74632E-06	7.9215	2.3992E-07	-9.32381E-07
46	10.3155	-2.2084E-06	-2.60789E-06	3.13078	-2.37385E-06	-1.69489E-06	7.18469	1.65449E-07	-9.12999E-07
47	6.04926	-2.22724E-06	-2.5326E-06	-0.499062	-2.31665E-06	-1.64054E-06	6.54832	8.9408E-08	-8.92063E-07
48	2.04013	-0.000002246	-2.45406E-06	-3.9727	-2.25861E-06	-1.58366E-06	6.01283	1.26058E-08	-8.704E-07
49	-1.686	-2.2639E-06	-2.3734E-06	-7.2631	-2.19977E-06	-1.52465E-06	5.5771	-6.41295E-08	-8.48749E-07
50	-5.10555	-2.28009E-06	-2.29163E-06	-10.3439	-2.14017E-06	-1.46389E-06	5.2383	-1.3992E-07	-8.27741E-07
51	-8.19752	-2.29373E-06	-2.20964E-06	-13.1894	-2.07986E-06	-1.40175E-06	4.99188	-2.13873E-07	-8.07892E-07
52	-10.9438	-2.30397E-06	-2.12818E-06	-15.7752	-2.01887E-06	-1.3386E-06	4.83148	-2.85099E-07	-7.89583E-07
53	-13.3292	-2.30997E-06	-2.04791E-06	-18.0782	-1.95725E-06	-1.2748E-06	4.74899	-3.52721E-07	-7.73107E-07
54	-15.3419	-2.3109E-06	-1.96934E-06	-20.0766	-1.89502E-06	-1.2107E-06	4.73462	-4.1588E-07	-7.58638E-07
55	-16.9734	-2.30601E-06	-1.89288E-06	-21.7505	-1.83221E-06	-1.1466E-06	4.77708	-4.73794E-07	-7.46274E-07
56	-18.2182	-2.2946E-06	-1.81886E-06	-23.0819	-1.76885E-06	-1.08282E-06	4.86372	-5.25745E-07	-7.36039E-07
57	-19.0742	-2.27613E-06	-1.74761E-06	-24.0551	-1.70497E-06	-1.01964E-06	4.98086	-5.71161E-07	-7.27964E-07
58	-19.5424	-2.25014E-06	-1.67935E-06	-24.6565	-1.64056E-06	-9.573E-07	5.11402	-6.09582E-07	-7.22051E-07
59	-19.6267	-2.21639E-06	-1.61435E-06	-24.875	-1.57565E-06	-8.96013E-07	5.24827	-6.40738E-07	-7.18339E-07
60	-19.3337	-2.17476E-06	-1.55288E-06	-24.7023	-1.51024E-06	-8.35953E-07	5.36854	-6.64518E-07	-7.1693E-07
61	-18.6725	-2.12538E-06	-1.49525E-06	-24.1325	-1.44432E-06	-7.7725E-07	5.45996	-6.81056E-07	-7.18002E-07
62	-17.6544	-2.06855E-06	-1.44179E-06	-23.1626	-1.37788E-06	-7.19982E-07	5.5082	-6.9067E-07	-7.21812E-07
63	-16.2929	-2.0048E-06	-1.39288E-06	-21.7926	-1.31089E-06	-6.64178E-07	5.49968	-6.93911E-07	-7.28701E-07
64	-14.6029	-1.93483E-06	-1.34892E-06	-20.0248	-1.24331E-06	-6.09814E-07	5.42192	-6.9152E-07	-7.39106E-07
